epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.71263,1.33865,3.82116,1.17135,0.0025,0.88235,0.00925,0.00491,1.4668,3.82447,1.09181,0.00012,0.00012,0.00012
2,12.9583,1.34484,3.50841,1.17372,0.00283,1,0.27558,0.14663,1.49603,3.72755,1.04347,0.000257426,0.000257426,0.000257426
3,19.0393,1.2786,2.78091,1.07245,0.00283,1,0.61613,0.26507,1.39004,3.42731,0.96964,0.00039208,0.00039208,0.00039208
4,24.5548,1.06389,3.26541,0.95592,0.00283,1,0.24783,0.14073,1.24531,3.49976,0.94577,0.000523962,0.000523962,0.000523962
5,29.9542,1.37214,2.17226,1.11672,0.00283,1,0.27992,0.17388,1.31219,3.46898,0.98139,0.000653072,0.000653072,0.000653072
6,35.3885,1.15741,2.91779,0.93795,0.00283,1,0.23668,0.11994,1.3078,3.58397,1.00534,0.00077941,0.00077941,0.00077941
7,40.7134,1.19963,1.9634,1.07788,0.00283,1,0.1009,0.04713,1.2193,3.69703,0.98956,0.000902976,0.000902976,0.000902976
8,46.119,1.13173,1.9204,1.06854,0.00283,1,0.28274,0.18113,1.28773,3.67303,1.02004,0.00102377,0.00102377,0.00102377
9,51.4635,1.26121,1.90418,1.09863,0.00283,1,0.16628,0.10326,1.26082,3.69827,1.01717,0.00114179,0.00114179,0.00114179
10,56.8584,1.29389,1.68448,1.05082,0.00283,1,0.06488,0.05584,1.24739,3.64676,1.01048,0.00125704,0.00125704,0.00125704
11,61.8658,1.27982,1.7815,1.0987,1,0.10158,0.3979,0.24978,1.46046,3.14663,1.07154,0.00136952,0.00136952,0.00136952
12,66.8208,1.30037,1.94591,1.19134,1,0.3654,0.6241,0.35106,1.4874,2.91911,1.08366,0.00147923,0.00147923,0.00147923
13,71.8056,1.28911,1.66878,1.09522,0.75984,0.41176,0.6488,0.34292,1.47092,2.73926,1.07128,0.00158616,0.00158616,0.00158616
14,76.7345,1.19057,1.73655,1.03377,0.75984,0.41176,0.6488,0.34292,1.47092,2.73926,1.07128,0.00169032,0.00169032,0.00169032
